Adele,Work
Tupac Shakur,All eyes on me
Billie Eilish,Bad guy
Rihanna,Only girl
SAINT JHN,Roses
Lil Nas X,Montero
Justin Beiber,Peaches
Polo G,Rapstar
Tiesto,The business
Dave,Titanium
Russ Millions & Tion wayne,Body
Masked wolf,Astronaut in the ocean
Anne-Marie/KSI/Digital Farm Animals,Dont play
Cardi B,Up
Central Cee,Commitment issues
KSI/Yungblud & Polo g,Patience
Dave/Kamal,Mercury
Dua lipa,Levitating
Travis scott & HVME,Goosebumps
Central Cee,6 for 6
Mooski,Track star
DMX,X gon give it to ya
Tones & I,Dance monkey
Lewis capaldi,Someone you loved
Sava/Fumez the engineer/BM,Plugged in freestyle
Jay z,Big pimpin
